name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,strokes,primaries,index,kanji,kunyo,onyo,hook
repetition marker,4,_primary,0,々,,カイ    こ.う,This character is used to indicate repetition of a previous character.
one,1,_primary,1,一,イチ　　イツ,ひと・つ　　ひと,"The number ONE is laid on its side. As a primitive, it takes on the meaning of *floor' or *ceiling."
*ceiling,1,"one, _over",1a,,,,
*floor,1,"one, _under",1b,,,,
two,2,"one, one",2,二,ニ,ふた・つ　　ふた,The Roman numeral for TWO on its side - one on top of the other.
three,3,"one, one, one",3,三,サン,みっ・つ　　み・つ　　み,The Roman numeral for THREE on its side - one and one and one makes THREE.
four,5,"mouth, *human legs",4,四,シ,よっ・つ　　よ・つ　　よ　　よん,The number FOUR - 'human legs' all 'pent in'.
five,4,_primary,5,五,ゴ,いつ・つ　　いつ,The number FIVE - looks like an iron.
six,4,"*top hat, *animal legs",6,六,ロク,むっ・つ　　む　　む・つ　　むいr,The number SIX - 'animal legs' under a 'top hat'.
seven; *diced,2,_primary,7,七,シチ,なな・つ　　なな　　なのr,"The number SEVEN. As a primitive, it takes on the meaning of *diced, due to its association with the kanji for 'cut'."
eight,2,_primary,8,八,ハチ,やっ・つ　　や　　や・つ　　ようr,"Just as the Arabic numeral for EIGHT is a small circle atop a larger one, the Japanese is a small line against a larger one, close but not touching. Below is a void that implies an infinite expanse, or something 'all-encompassing'."
nine; *baseball,2,_primary,9,九,キュウ　　ク,ここの・つ　　ここの,"The number NINE. As a primitive, it represents *baseball due to the number of players - nine."
ten; *needle; *cross,2,_primary,10,十,ジュウ　　ジッ,とお　　と,"Turn an X slightly and you get TEN. As a primitive, it also means *needle, from the kanji for needle."
mouth,3,_primary,11,口,コウ　　ク,くち,"A pictogram depicting a MOUTH. As a primitive, it signifies any opening, entrance, passage, or hole."
day; sun; *tongue wagging in the mouth,4,_primary,12,日,ニチ　　ジツ,ひ　　か,"Like a badge with a big smile, or the alchemical symbol with the dot stretched wide, this kanji represents the *sun, symbol of DAY. As a primitive, it can also mean *tongue-wagging, from its visual similarity to an archaic kanji meaning 'sayeth'."
month; moon; *flesh; *part of the body,4,_primary,13,月,ゲツ　　ガツ,つき,"A MONTH is depicted by a pictograph of the *moon, with the two horizontal lines representing the eye and mouth of the mythical man. As a primitive, it also represents *flesh or *body-parts."
rice field; *brains,5,_primary,14,田,デン,た,"A picture of a RICE FIELD - but it also looks a little like *brains viewed from above, hence its primitive significance."
eye,5,_primary,15,目,モク　　ボクr,め　　まr,"A picture of an EYE, squared and turned upwards, like a cat's."
old,5,"ten, mouth",16,古,コ,ふる・い　　ふる・す,It looks rather like an OLD tombstone in a graveyard.
I,7,"five, mouth",17,吾,ゴ,わ・が　　われ,"The perceiving I - think of the head and its five 'mouths' (mouth, eyes, and ears)."
risk,9,"sun, eye",18,冒,ボウ,おか・す,Never direct your 'eye' at the 'sun' - it's too RISKY.
companion,8,"*flesh, *flesh",19,朋,ホウ,とも,Eve - 'flesh' of my 'flesh'! The first COMPANION in Biblical lore.
bright,8,"sun, moon",20,明,メイ　　ミョウ,あ・かり　　あか・るい　　あか・るむ　　あか・らむ　　あき・らか　　あ・ける　　あ・く　　あ・くる　　あ・かす,"The 'sun', BRIGHT insight of the philosopher; the 'moon', BRIGHT intuition of the poet."
chant,11,"mouth, *tongue wagging in the mouth, *tongue wagging in the mouth",21,唱,ショウ,とな・える,The minimum for a chorus CHANT - one silent 'mouth' directing two 'tongue-wagging' ones.
*sparkle,12,"sun, sun, sun",22,晶,ショウ,,"What else can signify the word SPARKLE except a diamond? This character depicts a crystalline pyramid, as brilliant as three 'suns'."
goods,9,"mouth, mouth, mouth",23,品,ヒン,しな,The consumers demand GOODS - see their three hungry 'mouths'?
