African_capitals,Can you name the capital?,Type the answer to help you remember.
Algeria,Algiers
Angola,Luanda
Benin,Porto-Novo
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cabo Verde,Praia
Cameroon,Yaounde
Central African Republic,Bangui
Chad,N'Djamena
Comoros,Moroni
Democratic Republic of the Congo,Kinshasa
Republic of the Congo,Brazzaville
Cote d'Ivoire,Yamoussoukro
Djibouti,Djibouti
Egypt,Cairo
Equatorial Guinea,Malabo
Eritrea,Asmara
Eswatini,Mbabane
Ethiopia,Addis Ababa
Gabon,Libreville
Gambia,Banjul
Ghana,Conakry
Guinea-Bissau,Bissau
Kenya,Nairobi
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Madagascar,Antananarivo
Malawi,Lilongwe
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Morocco,Rabat
Mozambique,Maputo
Namibia,Windhoek
Niger,Niamey
Nigeria,Abuja
Rwanda,Kigali
Sao Tome and Principe,Sao Tome
Senegal,Dakar
Seychelles,Victoria
Sierra Leone,Freetown
Somalia,Mogadishu
South Africa,Pretoria
South Sudan,Juba
Sudan,Khartoum
Tanzania,Dodoma
Tunisia,Tunis
Uganda,Kampala
Zambia,Lusaka
Zimbabwe,Harare
