kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
repetition marker,4,々,",repetition marker,",,カイ    こ.う    ,This character is used to indicate repetition of a previous character.
one,1,一,",One,",イチ　　イツ,ひと・つ　　ひと,"The number ONE is laid on its side. As a primitive, it takes on the meaning of *floor' or *ceiling."
two,2,二,",two,",ニ,ふた・つ　　ふた,The Roman numeral for TWO on its side - one on top of the other.
three,3,三,",three,",サン,みっ・つ　　み・つ　　み,The Roman numeral for THREE on its side - one and one and one makes THREE.
four,5,四,",four,pent in,human legs,",シ,よっ・つ　　よ・つ　　よ　　よん,The number FOUR - 'human legs' all 'pent in'.
five,4,五,",five,",ゴ,いつ・つ　　いつ,The number FIVE - looks like an iron.
six,4,六,",six,top hat,animal legs,",ロク,むっ・つ　　む　　む・つ　　むいr,The number SIX - 'animal legs' under a 'top hat'.
seven,2,七,",seven,diced,",シチ,なな・つ　　なな　　なのr,"The number SEVEN. As a primitive, it takes on the meaning of *diced, due to its association with the kanji for 'cut'."
eight,2,八,",eight,",ハチ,やっ・つ　　や　　や・つ　　ようr,"Just as the Arabic numeral for EIGHT is a small circle atop a larger one, the Japanese is a small line against a larger one, close but not touching. Below is a void that implies an infinite expanse, or something 'all-encompassing'."
nine,2,九,",nine,baseball,",キュウ　　ク,ここの・つ　　ここの,"The number NINE. As a primitive, it represents *baseball due to the number of players - nine."
ten,2,十,",ten,needle,",ジュウ　　ジッ,とお　　と,"Turn an X slightly and you get TEN. As a primitive, it also means *needle, from the kanji for needle."
mouth,3,口,",mouth,",コウ　　ク,くち,"A pictogram depicting a MOUTH. As a primitive, it signifies any opening, entrance, passage, or hole."
day,4,日,",day,sun,",ニチ　　ジツ,ひ　　か,"Like a badge with a big smile, or the alchemical symbol with the dot stretched wide, this kanji represents the *sun, symbol of DAY. As a primitive, it can also mean *tongue-wagging, from its visual similarity to an archaic kanji meaning 'sayeth'."
month,4,月,",month,moon,month,flesh,part of the body,",ゲツ　　ガツ,つき,"A MONTH is depicted by a pictograph of the *moon, with the two horizontal lines representing the eye and mouth of the mythical man. As a primitive, it also represents *flesh or *body-parts."
rice field,5,田,",rice field,brains,",デン,た,"A picture of a RICE FIELD - but it also looks a little like *brains viewed from above, hence its primitive significance."
eye,5,目,",eye,",モク　　ボクr,め　　まr,"A picture of an EYE, squared and turned upwards, like a cat's."
old,5,古,",old,tombstone,gravestone,church,ten,needle,mouth,",コ,ふる・い　　ふる・す,It looks rather like an OLD tombstone in a graveyard.
I,7,吾,",I,five,mouth,",ゴ,わ・が　　われ,"The perceiving I - think of the head and its five 'mouths' (mouth, eyes, and ears)."
risk,9,冒,",risk,sun,day,eye,",ボウ,おか・す,Never direct your 'eye' at the 'sun' - it's too RISKY.
companion,8,朋,",companion,moon,month,flesh,part of the body,moon2,month2,flesh2,part of the body2,",ホウ,とも,Eve - 'flesh' of my 'flesh'! The first COMPANION in Biblical lore.
bright,8,明,",bright,sun,day,moon,month,flesh,part of the body,",メイ　　ミョウ,あ・かり　　あか・るい　　あか・るむ　　あか・らむ　　あき・らか　　あ・ける　　あ・く　　あ・くる　　あ・かす,"The 'sun', BRIGHT insight of the philosopher; the 'moon', BRIGHT intuition of the poet."
chant,11,唱,",chant,mouth,prosperous,sun,day,tongue wagging,sun2,day2,tongue wagging2,",ショウ,とな・える,The minimum for a chorus CHANT - one silent 'mouth' directing two 'tongue-wagging' ones.
sparkle,12,晶,",sparkle,day,sun,day3,sun3,",ショウ,,"What else can signify the word SPARKLE except a diamond? This character depicts a crystalline pyramid, as brilliant as three 'suns'."
goods,9,品,",goods,mouth,mouth3,",ヒン,しな,The consumers demand GOODS - see their three hungry 'mouths'?
spine,7,呂,",spine,mouth,drop,mouth2,",ロ,,Like a picture of two vertebrae in the SPINE linked by a single stroke.
prosperous,8,昌,",prosperous,sun,day,sun2,day2,",ショウ,まさ,What could be more PROSPEROUS than the farm beneath two 'suns'?
early,6,早,",early,sunflower,sun,day,ten,needle,",ソウ　　サッr,はや・い　　はや・まる　　はや・める,The *sunflower gets special treatment from the 'sun' to make it bloom the EARLIEST. See its 'needle' for a stem?
rising sun,6,旭,",rising sun,nine,baseball,sun,day,",キョク,あさひ,"The RISING SUN, nickname of Japan - also known for its love of 'baseball'."
generation,5,世,",generation,ten,twenty,",セ　　セイ,よ,One GENERATION is a period of about thirty years - that's three 'tens'.
stomach,9,胃,",stomach,rice field,brains,moon,month,flesh,part of the body,",イ,,The STOMACH is packed with neurons - it's pretty much the 'brains' of the 'flesh'.
nightbreak,5,旦,",nightbreak,sun,one,floor,",タン　　ダン,,"Not daybreak, but NIGHTBREAK - the breaking of the night when the 'sun' rises over the 'floor' of the horizon."
gall bladder,9,胆,",gallbladder,moon,month,flesh,part of the body,nightbreak,sun,day,one,floor,",タン,,The GALL BLADDER is the 'body part' that wakes you up after 'nightbreak'.
span,6,亘,",span,one,ceiling,sun,day,one,floor,",コウ,わた・る,The SPAN of our lives is demarcated by the 'sun' rising and falling over the 'floor' and 'ceiling' that are its horizons.
concave,5,凹,",concave,",オウ,,It has a dint in it that makes it CONCAVE.
convex,5,凸,",convex,",トツ,,It has a bump in it that makes it CONVEX.
olden times,5,旧,",olden times,stick,sun,day,",キュウ,,OLDEN TIMES were the good 'old' 'days' - so old they need a 'walking stick' to get around.
